English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
buddhist,buddista,/bʊdːista/,Thus far the texts are pre-Buddhist.,Finora i testi sono pre-buddisti.,/finora i tɛstɪ sono prebʊdːistɪ./,A1,Social,"A1,Social",
buddha,buddha,/budːa/,"There can, ” said the Buddha.","Si può"", disse il Buddha.","/sɪ pʊɔ"", disse il budːa./",A1,Social,"A1,Social",
doctor,medico,/mɛdiko/,Do you know--what’s a-name--Doctors’ Commons?,"Conosci... come si chiama... il ""Doctors' Commons""?","/konoʃɪ... kome sɪ kjama... iːl ""doktɔrs kommons""?/",A1,Social,"A1,Social",
i,i,/i/,"I have been thinking, Mr.","Stavo pensando, signor","/stavo pensando, siɲor/",A1,Social,"A1,Social",
march,marcia,/martʃa/,Do you mean Aunt March?,Vuoi dire zia March?,/vʊɔi dire dzia martʃ?/,A1,Social,"A1,Social",
miss,miss,/miss/,A--and how is Miss Nickleby?,E come sta Miss Nickleby?,/e kome sta miss nikːlebɪ?/,A1,Social,"A1,Social",
mr.,Signor,/siɲor/,"Speculate with it,’ said Mrs. Nickleby.","Speculare con esso"", disse la signora Nickleby.","/spekʊlare kon esso"", disse la siɲora nikːlebɪ./",A1,Social,"A1,Social",
mrs.,Signora.,/siɲora./,"Speculate with it,’ said Mrs. Nickleby.","Speculare con esso"", disse la signora Nickleby.","/spekʊlare kon esso"", disse la siɲora nikːlebɪ./",A1,Social,"A1,Social",
miss,Signorina,/siɲorina/,"He certainly has,’ added Miss Petowker.","Certamente"", ha aggiunto la signorina Petowker.","/tʃertamente"", a adʒːunto la siɲorina petowkɛr./",A1,Social,"A1,Social",
sir,Signor,/siɲor/,"We are, dear Sirs, “Yours respectfully.","Siamo, cari Signori, ""Rispettosamente vostri"".","/sjamo, karɪ siɲorɪ, ""rispetːozamente vɔstrɪ""./",A1,Social,"A1,Social",
ma'am,Signora.,/siɲora./,"Of what is this fine crop to consist, ma'am?","Di cosa sarà composto questo bel raccolto, signora?","/dɪ kɔza saɾa komposto kwesto bɛl rakːɔlto, siɲora?/",A1,Social,"A1,Social",
ok,ok,/okɛi/,Sami will be OK with Layla.,Sami si troverà bene con Layla.,/samɪ sɪ troveɾa bɛne kon laila./,A1,Social,"A1,Social",
sunday,domenica,/domenika/,Do you mind tennis on Sunday—?,Ti dispiace giocare a tennis domenica?,/tɪ dispɪaːtʃe dʒokare a tɛnnis domenika?/,A1,Social,"A1,Social",
a,a,/aː/,Can you blo’ a harn?,Puoi fare un'imbracatura?,/pʊɔi fare ʊnimbrakatura?/,A1,Social,"A1,Social",
above,sopra,/sopra/,Are you below or above?,Siete sotto o sopra?,/sjete sotːo o sopra?/,A1,Social,"A1,Social",
action,azione,/atsione/,And what is wrong action?,E qual è l'azione sbagliata?,/e kwal e latsione zbaʎata?/,A1,Social,"A1,Social",
actor,attore,/atːore/,He is a strolling actor!,È un attore ambulante!,/e ʊn atːore ambʊlante!/,A1,Social,"A1,Social",
actress,attrice,/atːritʃe/,The actress has a very beautiful name.,L'attrice ha un nome molto bello.,/latːritʃe a ʊn nome molto bɛllo./,A1,Social,"A1,Social",
