English_Term,Italian_Translation,Italian_IPA,CEFR_Level,Notes,Tag
abortion,,,C1,,
abound,,,C1,,
abstraction,,,C1,,
accelerate,,,C1,,
accomplishment,,,C1,,
accountability,,,C1,,
accountable,,,C1,,
accumulation,,,C1,,
accused,,,C1,,
accustomed,,,C1,,
acidic,,,C1,,
acoustic,,,C1,,
acoustically,,,C1,,
acoustics,,,C1,,
activation,,,C1,,
activist,,,C1,,
acutely,,,C1,,
adaptation,,,C1,,
adhere,,,C1,,
adjacent,,,C1,,
adjoin,,,C1,,
adjoining,,,C1,,
adjustable,,,C1,,
administer,,,C1,,
administrator,,,C1,,
adolescent,,,C1,,
adrenaline,,,C1,,
advantageous,,,C1,,
adversary,,,C1,,
advisory,,,C1,,
advocate,,,C1,,
aesthetic,,,C1,,
aesthetically,,,C1,,
aftermath,,,C1,,
aggression,,,C1,,
agonize,,,C1,,
agreeable,,,C1,,
aide,,,C1,,
aimless,,,C1,,
aimlessly,,,C1,,
alienate,,,C1,,
align,,,C1,,
alignment,,,C1,,
allege,,,C1,,
allegedly,,,C1,,
alleviate,,,C1,,
allocate,,,C1,,
allocation,,,C1,,
altruism,,,C1,,
altruistic,,,C1,,
aluminium,,,C1,,
amateur,,,C1,,
amend,,,C1,,
amendment,,,C1,,
amid,,,C1,,
amplification,,,C1,,
amply,,,C1,,
anchored,,,C1,,
animatedly,,,C1,,
anthropologist,,,C1,,
anthropology,,,C1,,
anticlimactic,,,C1,,
antics,,,C1,,
antiquated,,,C1,,
antiquity,,,C1,,
appall/appal,,,C1,,
appalling,,,C1,,
appallingly,,,C1,,
apparatus,,,C1,,
apparel,,,C1,,
appealing,,,C1,,
appliance,,,C1,,
applicable,,,C1,,
apprehensive,,,C1,,
apprentice,,,C1,,
apprenticeship,,,C1,,
apt to,,,C1,,
apt,,,C1,,
aqua,,,C1,,
aquarium,,,C1,,
arbitrary,,,C1,,
architectural,,,C1,,
archive,,,C1,,
arm (v),,,C1,,
array,,,C1,,
artistically,,,C1,,
assassination,,,C1,,
assertion,,,C1,,
astray,,,C1,,
asylum,,,C1,,
atmospheric,,,C1,,
atrocity,,,C1,,
auction,,,C1,,
authentic,,,C1,,
authorise,,,C1,,
auto,,,C1,,
autonomy,,,C1,,
avid,,,C1,,
backdrop,,,C1,,
backing,,,C1,,
bail,,,C1,,
baldly,,,C1,,
banner,,,C1,,
bass,,,C1,,
batter,,,C1,,
battered,,,C1,,
bearded,,,C1,,
beforehand,,,C1,,
beguiling,,,C1,,
beguilingly,,,C1,,
behavioural,,,C1,,
believably,,,C1,,
benchmark,,,C1,,
beneficiary,,,C1,,
benign,,,C1,,
benignly,,,C1,,
bequeath,,,C1,,
beverage,,,C1,,
billiards,,,C1,,
blankness,,,C1,,
bliss,,,C1,,
blister,,,C1,,
blithely,,,C1,,
blockbuster,,,C1,,
boundary,,,C1,,
bouquet,,,C1,,
brainwash,,,C1,,
brainwashing,,,C1,,
breach,,,C1,,
bribe,,,C1,,
bribery,,,C1,,
brutal,,,C1,,
bubbly,,,C1,,
buffer,,,C1,,
buffoon,,,C1,,
bulk up,,,C1,,
bulk,,,C1,,
bulky,,,C1,,
bureaucratic,,,C1,,
bureaucratically,,,C1,,
buzzer,,,C1,,
bypass,,,C1,,
calorie,,,C1,,
candid,,,C1,,
candidly,,,C1,,
canoe,,,C1,,
canvas,,,C1,,
capitalism,,,C1,,
capitalist,,,C1,,
cargo,,,C1,,
carpenter,,,C1,,
carpentry,,,C1,,
carrier,,,C1,,
casino,,,C1,,
casualty,,,C1,,
catalogue,,,C1,,
cater,,,C1,,
cavity,,,C1,,
ceaseless,,,C1,,
ceaselessly,,,C1,,
cessation,,,C1,,
chamber,,,C1,,
chaotically,,,C1,,
characterise,,,C1,,
