English_Term,Italian_Translation,Italian_IPA,English_Sentence,Italian_Sentence_Translation,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
achieve,raggiungere,/radʒːundʒere/,How can we achieve this?,Come possiamo raggiungere questo obiettivo?,/kome possjamo radʒːundʒere kwesto objetːivo?/,A2,Professional,"A2,Professional",
admit,ammettere,/ammetːere/,Admit those were the very words.,Ammettete che sono state proprio queste le parole.,/ammetːete ke sono state prɔprio kweste le paɾɔle./,A2,Professional,"A2,Professional",
adventure,avventura,/avventura/,It is a wild adventure we are on.,È un'avventura selvaggia quella che stiamo vivendo.,/e ʊnavventura selvadʒːa kwella ke stjamo vivɛndo./,A2,Professional,"A2,Professional",
agency,agenzia,/adʒentsia/,No agency on the part of the bhikkhunī is mentioned.,Non viene menzionato alcun intervento da parte del bhikkhunī.,/non vjɛne mentsjonato alkʊn intervɛnto da parte del bikːunɪ./,A2,Professional,"A2,Professional",
allow,consentire,/konsentire/,I do not allow it.,Non lo permetto.,/non lo permetːo./,A2,Professional,"A2,Professional",
army,esercito,/ezɛrtʃito/,The French army had entered Toledo.,L'esercito francese era entrato a Toledo.,/lezɛrtʃito frantʃeze ɛra entrato a toledo./,A2,Professional,"A2,Professional",
attend,partecipare,/partetʃipare/,I must attend on Caesar.,Devo andare da Cesare.,/dɛvo andare da tʃezare./,A2,Professional,"A2,Professional",
been,stato,/stato/,"I have been thinking, Mr.","Stavo pensando, signor","/stavo pensando, siɲor/",A2,Professional,"A2,Professional",
behave,comportarsi,/komportarsɪ/,How shall I behave here?,Come mi devo comportare qui?,/kome mɪ dɛvo komportare kwi?/,A2,Professional,"A2,Professional",
being,essere,/ɛssere/,May these beings be killed!,Che questi esseri siano uccisi!,/ke kwestɪ ɛsserɪ siːano ʊtʃːizɪ!/,A2,Professional,"A2,Professional",
belly,pancia,/pantʃa/,"Be it concluded, No barricado for a belly.","Sia concluso, nessun barricado per una pancia.","/sia konkluzo, nessʊn barɾikado per ʊna pantʃa./",A2,Professional,"A2,Professional",
bury,interramento,/interɾamento/,"What, would you bury him in my despite?","Cosa, lo seppellirebbe nonostante la mia presenza?","/kɔza, lo sepːellirɛbːe nonostante la mia prezɛntsa?/",A2,Professional,"A2,Professional",
campus,campus,/kampʊs/,They have to live on campus.,Devono vivere nel campus.,/devono vivere nel kampʊs./,A2,Professional,"A2,Professional",
charity,carità,/karita/,"Have you no charity, friend?","Non hai carità, amico?","/non aj karita, amiko?/",A2,Professional,"A2,Professional",
committee,comitato,/komitato/,The ninth subchapter on committees is finished.,Il nono sottocapitolo sui comitati è terminato.,/il nono sotːokapitolo sʊi komitatɪ e terminato./,A2,Professional,"A2,Professional",
connect,collegare,/kolleɡare/,There is nothing to connect Stephen with the religion of Domitilla.,Non c'è nulla che colleghi Stefano alla religione di Domitilla.,/non tʃe nulla ke kolleɡɪ stefano alla relidʒone dɪ domitilla./,A2,Professional,"A2,Professional",
contain,contenere,/kontenere/,Is’t like that lead contains her?,Non è che quella pista la contiene?,/non e ke kwella pista la kontjɛne?/,A2,Professional,"A2,Professional",
continue,continuare,/kontinʊare/,Things cannot continue as they are.,Le cose non possono continuare così.,/le kɔze non pɔssono kontinʊare kozi./,A2,Professional,"A2,Professional",
countryside,campagna,/kampaɲɲa/,We are in the countryside.,Siamo in campagna.,/sjamo in kampaɲɲa./,A2,Professional,"A2,Professional",
crowd,folla,/fɔlla/,The crowd was in a tumult.,La folla era in tumulto.,/la fɔlla ɛra in tʊmulto./,A2,Professional,"A2,Professional",
danger,pericolo,/perikolo/,Is there danger of another?,C'è il pericolo di un altro?,/tʃe il perikolo dɪ ʊn altro?/,A2,Professional,"A2,Professional",
desert,deserto,/dezɛrto/,Now you shall receive your deserts.,Ora riceverete i vostri meriti.,/ora ritʃeverete i vɔstrɪ mɛritɪ./,A2,Professional,"A2,Professional",
disadvantage,svantaggio,/zvantadʒːo/,Were at a considerable disadvantage.,Erano in una posizione di notevole svantaggio.,/ɛrano in ʊna pozitsione dɪ notevole zvantadʒːo./,A2,Professional,"A2,Professional",
divide,dividere,/dividere/,It is deeds that divide beings into inferior and superior.,Sono le azioni che dividono gli esseri in inferiori e superiori.,/sono le atsionɪ ke dividono ʎɪ ɛsserɪ in inferiorɪ e sʊperiorɪ./,A2,Professional,"A2,Professional",
encourage,incoraggiare,/inkoradʒːare/,It is he who encourages me.,È lui che mi incoraggia.,/e lʊi ke mɪ inkoradʒːa./,A2,Professional,"A2,Professional",
energy,energia,/enerdʒia/,Digging’ is a term for rousing energy.,"Scavare"" è un termine che indica il risveglio dell'energia.","/skavare"" e ʊn tɛrmine ke indika il rizveʎo dellenerdʒia./",A2,Professional,"A2,Professional",
environment,ambiente,/ambiɛnte/,An animal perfectly in harmony with its environment is a perfect mechanism.,Un animale perfettamente in armonia con il suo ambiente è un meccanismo perfetto.,/ʊn animale perfetːamente in armonia kon il sʊo ambiɛnte e ʊn mekːanizmo perfɛtːo./,A2,Professional,"A2,Professional",
exhibition,mostra,/mostra/,It came in a full tide down Exhibition Road.,È arrivata in piena marea lungo Exhibition Road.,/e arɾivata in pjɛna marɛa luŋɡo eksibitjon road./,A2,Professional,"A2,Professional",
fail,fallire,/fallire/,I never knew it fail.,Non ho mai saputo che fallisse.,/non o maj saputo ke fallisse./,A2,Professional,"A2,Professional",
forbid,vietare,/vjetare/,Two subjects I forbid—must forbid.,"Due argomenti che vieto, che devo vietare.","/due arɡomentɪ ke vjeto, ke dɛvo vjetare./",A2,Professional,"A2,Professional",
forest,foresta,/forɛsta/,What is this forest call’d?,Come si chiama questa foresta?,/kome sɪ kjama kwesta forɛsta?/,A2,Professional,"A2,Professional",
including,incluso,/inkluzo/,"Including them, the same dinner would cost three napoleons.","Includendoli, la stessa cena sarebbe costata tre napoleoni.","/inklʊdendolɪ, la stessa tʃena sarɛbːe kostata tre napoleonɪ./",A2,Professional,"A2,Professional",
independence,indipendenza,/indipendɛntsa/,Take your independence and be gone.,Prendete la vostra indipendenza e andatevene.,/prendete la vɔstra indipendɛntsa e andatevene./,A2,Professional,"A2,Professional",
industry,industria,/industria/,The great industry of the city was silk manufacturing.,La grande industria della città era la produzione di seta.,/la ɡrande industria della tʃitːa ɛra la prodʊtsione dɪ seta./,A2,Professional,"A2,Professional",
kingdom,regno,/reɲɲo/,We have kissed away Kingdoms and provinces.,Abbiamo baciato via regni e province.,/abːjamo batʃato via reɲɲɪ e provintʃe./,A2,Professional,"A2,Professional",
labor,lavoro,/lavɔro/,Was he weary of his labors?,Era stanco delle sue fatiche?,/ɛra stanko delle sʊe fatike?/,A2,Professional,"A2,Professional",
manage,gestire,/dʒestire/,Would you manage our affairs?,Vorrebbe gestire i nostri affari?,/vorɾɛbːe dʒestire i nɔstrɪ affarɪ?/,A2,Professional,"A2,Professional",
marry,sposarsi,/spozarsɪ/,"Marry, now I can tell.","Sposarsi, ora posso dirlo.","/spozarsɪ, ora pɔsso dirlo./",A2,Professional,"A2,Professional",
murder,omicidio,/omitʃidio/,"What, will you murder me?","Cosa, mi ucciderai?","/kɔza, mɪ ʊtʃːideraːɪ?/",A2,Professional,"A2,Professional",
operate,operare,/operare/,We shall operate just above the ear.,Opereremo appena sopra l'orecchio.,/opererɛmo apːena sopra lorekːio./,A2,Professional,"A2,Professional",
oppose,opporsi,/opːɔrsɪ/,These are the four things that oppose the true teaching.,Queste sono le quattro cose che si oppongono al vero insegnamento.,/kweste sono le kwatːro kɔze ke sɪ opːoŋɡono al vero inseɲamento./,A2,Professional,"A2,Professional",
police,polizia,/politsia/,Single police-officers on duty could now tell Mr.,I singoli agenti di polizia in servizio potrebbero ora dire al Sig.,/i siŋɡolɪ adʒɛntɪ dɪ politsia in servitsio potrebːero ora dire al siɡ./,A2,Professional,"A2,Professional",
police,polizia,/politsia/,Single police-officers on duty could now tell Mr.,I singoli agenti di polizia in servizio potrebbero ora dire al Sig.,/i siŋɡolɪ adʒɛntɪ dɪ politsia in servitsio potrebːero ora dire al siɡ./,A2,Professional,"A2,Professional",
possession,possesso,/possɛsso/,The wailing took possession of me.,Il lamento si è impossessato di me.,/il lamento sɪ e impossessato dɪ me./,A2,Professional,"A2,Professional",
prevent,prevenire,/prevenire/,"I must prevent thee, Cimber.","Devo impedirtelo, Cimber.","/dɛvo impedirtelo, tʃimbɛr./",A2,Professional,"A2,Professional",
pride,orgoglio,/orɡoʎo/,Everybody is disgusted with his pride.,Tutti sono disgustati dal suo orgoglio.,/tutːɪ sono dizɡʊstatɪ dal sʊo orɡoʎo./,A2,Professional,"A2,Professional",
pursue,perseguire,/perseɡwire/,What course do we pursue?,Quale strada seguire?,/kwale strada seɡwire?/,A2,Professional,"A2,Professional",
quit,abbandonare,/abːandonare/,Then I shall quit you.,Allora ti lascio.,/allora tɪ laʃo./,A2,Professional,"A2,Professional",
react,reagire,/readʒire/,And such a wrong may react disastrously upon the soul.,E un tale errore può reagire in modo disastroso sull'anima.,/e ʊn tale erɾore pʊɔ readʒire in mɔdo dizastrozo sʊllanima./,A2,Professional,"A2,Professional",
recognise,riconoscere,/rikonoʃere/,"A monk who does not recognise his offense, etc.","Un monaco che non riconosce la sua offesa, ecc.","/ʊn mɔnako ke non rikonoʃe la sʊa offeza, ekː./",A2,Professional,"A2,Professional",
reduce,ridurre,/ridurɾe/,Does he think to reduce me by long absence?,Pensa forse di ridurmi con una lunga assenza?,/pɛnsa forse dɪ ridurmɪ kon ʊna luŋɡa assɛntsa?/,A2,Professional,"A2,Professional",
refuse,Rifiuto,/rifjuto/,I could not possibly refuse.,Non potevo rifiutare.,/non potɛvo rifjʊtare./,A2,Professional,"A2,Professional",
remove,rimuovere,/rimʊɔvere/,We did not remove the comma.,Non abbiamo rimosso la virgola.,/non abːjamo rimɔsso la virɡola./,A2,Professional,"A2,Professional",
repair,riparazione,/ripaɾatsione/,They repair what is decayed and damaged.,Riparano ciò che è decaduto e danneggiato.,/ripaɾano tʃɔ ke e dekaduto e dannedʒːato./,A2,Professional,"A2,Professional",
replace,sostituire,/sostitʊire/,"Now this substance was wanting on board, and nothing could replace it.",Ora questa sostanza mancava a bordo e nulla poteva sostituirla.,/ora kwesta sostantsa mankava a bɔrdo e nulla potɛva sostitʊirla./,A2,Professional,"A2,Professional",
retire,ritirarsi,/ritirarsɪ/,Will you allow me to retire?,Mi permetterà di andare in pensione?,/mɪ permetːeɾa dɪ andare in pensjone?/,A2,Professional,"A2,Professional",
reunion,riunione,/riʊnjone/,Tom came back to Australia for a class reunion.,Tom è tornato in Australia per una riunione di classe.,/tɔm e tornato in aʊstralia per ʊna riʊnjone dɪ klasse./,A2,Professional,"A2,Professional",
rise,aumento,/aʊmento/,This gives rise to relishing.,Questo dà origine al piacere.,/kwesto da oridʒine al pjatʃere./,A2,Professional,"A2,Professional",
seek,cercare,/tʃerkare/,Why do you seek me?,Perché mi cercate?,/perke mɪ tʃerkate?/,A2,Professional,"A2,Professional",
society,società,/sotʃeta/,How comes she in such society?,Come mai è entrata in questa società?,/kome maj e entrata in kwesta sotʃeta?/,A2,Professional,"A2,Professional",
state,Stato,/stato/,What are states of existence?,Cosa sono gli stati di esistenza?,/kɔza sono ʎɪ statɪ dɪ ezistɛntsa?/,A2,Professional,"A2,Professional",
succeed,successo,/sʊtʃːɛsso/,Crummles is certain to succeed.,Crummles è certo di avere successo.,/krummles e tʃɛrto dɪ avere sʊtʃːɛsso./,A2,Professional,"A2,Professional",
trade,commercio,/kommɛrtʃo/,Does he like the trade?,Gli piace lo scambio?,/ʎɪ pjatʃe lo skambio?/,A2,Professional,"A2,Professional",
training,formazione,/formatsione/,So-and-so has renounced the training.,Così e così ha rinunciato alla formazione.,/kozi e kozi a rinʊntʃato alla formatsione./,A2,Professional,"A2,Professional",
wander,vagare,/vaɡare/,"Please urge them to wander, as you thought.","Per favore, esortateli a vagare, come avete pensato.","/per favore, ezortatelɪ a vaɡare, kome avete pensato./",A2,Professional,"A2,Professional",
wedding,matrimonio,/matrimɔnio/,You didn’t come to my wedding.,Non sei venuto al mio matrimonio.,/non sɛi venuto al mio matrimɔnio./,A2,Professional,"A2,Professional",
zone,zona,/dzɔna/,And a monastery zone should be abolished like this.,E la zona dei monasteri dovrebbe essere abolita in questo modo.,/e la dzɔna deɪ monastɛrɪ dovrɛbːe ɛssere abolita in kwesto mɔdo./,A2,Professional,"A2,Professional",
