English_Translation,Italian_Term,Italian_IPA,English_Sentence,Italian_Sentence,Italian_Sentence_IPA,CEFR_Level,Taxonomy,Tags,Notes
buzz,ronzio,/rondzio/,The buzz in the Court was awfully hushed.,Il brusio nella Corte era terribilmente silenzioso.,/il brʊzio nella korte ɛra terɾibilmente silentsjozo./,B2,Travel,"B2,Travel",
coaching,coaching,/koakiŋɡ/,You will want a lot of coaching.,Avrete bisogno di molto coaching.,/avrete bizoɲɲo dɪ molto koakiŋɡ./,B2,Travel,"B2,Travel",
commute,pendolare,/pendolare/,"Reserving to ourselves full liberty to moderate, commute, or take off, in whole or in part, the aforesaid penalties and penance.","Riservandoci la piena libertà di moderare, ridurre o togliere, in tutto o in parte, le suddette pene e penitenze.","/rizervandotʃɪ la pjɛna liberta dɪ moderare, ridurɾe o tɔʎere, in tutːo o in parte, le sʊdːetːe pɛne e penitɛntse./",B2,Travel,"B2,Travel",
crawl,strisciare,/striʃare/,I have seen him myself crawl from his window.,L'ho visto io stesso strisciare dalla finestra.,/lo visto io stesso striʃare dalla finɛstra./,B2,Travel,"B2,Travel",
detach,staccare,/stakːare/,You must detach it by main force.,È necessario staccarlo con la forza principale.,/e netʃessario stakːarlo kon la fɔrtsa printʃipale./,B2,Travel,"B2,Travel",
droop,sonnolenza,/sonnolɛntsa/,But wherefore do you droop?,Ma perché ti afflosci?,/ma perke tɪ affloʃɪ?/,B2,Travel,"B2,Travel",
falter,vacillare,/vatʃillare/,And how do you falter amid presently arisen phenomena?,E come si fa a vacillare in mezzo ai fenomeni che si manifestano attualmente?,/e kome sɪ fa a vatʃillare in mɛdzːo aj fenɔmenɪ ke sɪ manifɛstano atːʊalmente?/,B2,Travel,"B2,Travel",
flee,fuggire,/fʊdʒːire/,"He is fearful, scared, nervous, quick to flee.","È timoroso, spaventato, nervoso, pronto a fuggire.","/e timorozo, spaventato, nervozo, pronto a fʊdʒːire./",B2,Travel,"B2,Travel",
hover,Hover,/ovɛr/,I will hover near and direct the steel aright.,Mi librerò vicino e dirigerò l'acciaio in modo corretto.,/mɪ libreɾɔ vitʃino e diridʒeɾɔ latʃːaio in mɔdo korɾɛtːo./,B2,Travel,"B2,Travel",
hunting,caccia,/katʃːa/,Go you to hunting; I’ll abide with him.,Andate a caccia; io resterò con lui.,/andate a katʃːa; io resteɾɔ kon lui./,B2,Travel,"B2,Travel",
inspect,ispezionare,/ispetsjonare/,Renfield artfully waited until the attendant was entering the room to inspect.,Renfield attese ad arte che l'addetto entrasse nella stanza per ispezionare.,/rɛnfjeld atːeze ad arte ke ladːetːo entrasse nella stantsa per ispetsjonare./,B2,Travel,"B2,Travel",
lark,allodola,/allɔdola/,I do hear the morning lark.,Sento l'allodola mattutina.,/sento lallɔdola matːʊtina./,B2,Travel,"B2,Travel",
linger,zenzero,/dzendzero/,"Did she linger long, Joe?","Si è trattenuta a lungo, Joe?","/sɪ e tratːenuta a luŋɡo, dʒoe?/",B2,Travel,"B2,Travel",
mechanize,meccanizzare,/mekːanidzːare/,He explained the mechanize during the meeting.,Ha spiegato la meccanizzazione durante l'incontro.,/a spjeɡato la mekːanidzːatsione dʊrante linkontro./,B2,Travel,"B2,Travel",
modernize,modernizzare,/modernidzːare/,We want to modernize Algiers.,Vogliamo modernizzare Algeri.,/voʎamo modernidzːare aldʒɛrɪ./,B2,Travel,"B2,Travel",
