"Time","English","Italian","IPA","Tags"
"00:00","twelve o'clock","le dodici","[le ˈdoditʃi]"
"00:01","twelve oh one","le dodici e uno","[le ˈdoditʃi e ˈuno]"
"00:02","twelve oh two","le dodici e due","[le ˈdoditʃi e ˈdu.e]"
"00:03","twelve oh three","le dodici e tre","[le ˈdoditʃi e ˈtrɛ]"
"00:04","twelve oh four","le dodici e quattro","[le ˈdoditʃi e ˈkwattro]"
"00:05","twelve oh five","le dodici e cinque","[le ˈdoditʃi e ˈtʃiŋkwe]"
"00:06","twelve oh six","le dodici e sei","[le ˈdoditʃi e ˈsɛi]"
"00:07","twelve oh seven","le dodici e sette","[le ˈdoditʃi e ˈsɛtte]"
"00:08","twelve oh eight","le dodici e otto","[le ˈdoditʃi e ˈɔtto]"
"00:09","twelve oh nine","le dodici e nove","[le ˈdoditʃi e ˈnɔve]"
"00:10","twelve ten","le dodici e dieci","[le ˈdoditʃi e ˈdjɛtʃi]"
"00:11","twelve eleven","le dodici e undici","[le ˈdoditʃi e ˈunditʃi]"
"00:12","twelve twelve","le dodici e dodici","[le ˈdoditʃi e ˈdoditʃi]"
"00:13","twelve thirteen","le dodici e tredici","[le ˈdoditʃi e treˈditʃi]"
"00:14","twelve fourteen","le dodici e quattordici","[le ˈdoditʃi e kwatˈtorditʃi]"
"00:15","twelve fifteen","le dodici e quindici","[le ˈdoditʃi e ˈkwinditʃi]"
"00:16","twelve sixteen","le dodici e sedici","[le ˈdoditʃi e seˈditʃi]"
"00:17","twelve seventeen","le dodici e diciassette","[le ˈdoditʃi e ditʃasˈsɛtte]"
"00:18","twelve eighteen","le dodici e diciotto","[le ˈdoditʃi e ditʃˈɔtto]"
"00:19","twelve nineteen","le dodici e diciannove","[le ˈdoditʃi e ditʃanˈnɔve]"
"00:20","twelve twenty","le dodici e venti","[le ˈdoditʃi e ˈvɛnti]"
"00:21","twelve twenty-one","le dodici e ventuno","[le ˈdoditʃi e ventuˈno]"
"00:22","twelve twenty-two","le dodici e ventidue","[le ˈdoditʃi e ventiˈdu.e]"
"00:23","twelve twenty-three","le dodici e ventitré","[le ˈdoditʃi e ventiˈtrɛ]"
"00:24","twelve twenty-four","le dodici e ventiquattro","[le ˈdoditʃi e ventiˈkwattro]"
